Name,datetime,Date,Time,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,rolling_precip,flood_occurred
LAGOS STATE,2024-07-02 00:00:00,02/07/2024,00:00:00,27.1,29.6,22.7,76.9,0.2,100.0,rain,0,0,25.2,14.4,237.3,1013.0,99.0,24.1,0.0,0.0,0,10,"Rain, Overcast",rain,remote,0.2,0
LAGOS STATE,2024-07-02 01:00:00,02/07/2024,01:00:00,27.1,29.4,22.4,75.51,0.0,0.0,,0,0,26.3,14.8,235.6,1013.0,100.0,24.1,0.0,0.0,0,10,Overcast,cloudy,remote,0.2,0
LAGOS STATE,2024-07-02 02:00:00,02/07/2024,02:00:00,27.2,29.6,22.4,75.07,0.0,0.0,,0,0,26.3,15.5,244.1,1012.0,100.0,24.1,0.0,0.0,0,10,Overcast,cloudy,remote,0.2,0
LAGOS STATE,2024-07-02 03:00:00,02/07/2024,03:00:00,26.9,29.2,22.6,77.34,0.0,0.0,,0,0,28.1,16.2,253.7,1012.0,100.0,24.1,0.0,0.0,0,10,Overcast,cloudy,remote,0.0,0
LAGOS STATE,2024-07-02 04:00:00,02/07/2024,04:00:00,26.8,29.0,22.6,77.8,0.0,0.0,,0,0,28.1,15.1,257.6,1012.0,100.0,24.1,0.0,0.0,0,10,Overcast,cloudy,remote,0.0,0
LAGOS STATE,2024-07-02 05:00:00,02/07/2024,05:00:00,26.6,26.6,22.6,78.72,0.0,0.0,,0,0,24.8,12.2,266.9,1012.0,100.0,23.9,0.0,0.0,0,10,Overcast,cloudy,remote,0.0,0
LAGOS STATE,2024-07-02 06:00:00,02/07/2024,06:00:00,26.3,26.3,22.8,81.1,0.8,100.0,rain,0,0,20.9,9.7,280.4,1012.0,99.7,24.1,0.0,0.0,0,10,"Rain, Overcast",rain,remote,0.8,0
LAGOS STATE,2024-07-02 07:00:00,02/07/2024,07:00:00,26.1,26.1,22.9,82.57,0.2,100.0,rain,0,0,23.4,10.8,263.7,1013.0,83.8,24.1,3.0,0.0,0,10,"Rain, Partially cloudy",rain,remote,1.0,0
LAGOS STATE,2024-07-02 08:00:00,02/07/2024,08:00:00,27.0,29.5,22.9,78.3,0.0,0.0,,0,0,24.5,13.7,265.8,1013.0,93.1,24.1,112.0,0.4,1,10,Overcast,cloudy,remote,1.0,0
LAGOS STATE,2024-07-02 09:00:00,02/07/2024,09:00:00,28.1,31.1,22.7,72.53,0.3,100.0,rain,0,0,22.0,15.8,263.3,1014.0,94.3,24.1,281.0,1.0,3,30,"Rain, Overcast",rain,remote,0.5,0
LAGOS STATE,2024-07-02 10:00:00,02/07/2024,10:00:00,29.1,32.3,22.4,67.2,0.4,100.0,rain,0,0,21.6,18.4,254.4,1014.0,93.6,24.1,432.0,1.6,4,30,"Rain, Overcast",rain,remote,0.7,0
LAGOS STATE,2024-07-02 11:00:00,02/07/2024,11:00:00,29.6,33.0,22.4,65.29,0.5,100.0,rain,0,0,21.2,19.1,246.5,1013.0,98.9,24.1,598.0,2.2,6,30,"Rain, Overcast",rain,remote,1.2,0
LAGOS STATE,2024-07-02 12:00:00,02/07/2024,12:00:00,28.0,33.4,26.0,88.91,1.3,100.0,rain,0,0,22.7,16.6,260.0,1014.0,88.0,5.0,514.0,1.9,5,30,"Rain, Partially cloudy",rain,DNMM,2.2,0
LAGOS STATE,2024-07-02 13:00:00,02/07/2024,13:00:00,28.0,32.6,25.0,83.78,0.4,100.0,rain,0,0,24.8,11.2,240.0,1013.0,88.0,5.0,881.0,3.2,9,10,"Rain, Partially cloudy",rain,DNMM,2.2,0
